Contestant,Points
Cyprus,5008
Bulgaria,3311
Hungary,3271
Italy,3226
Estonia,3187
France,3111
Albania,2845
Israel,2840
Portugal,2726
Switzerland,2623
Ukraine,2085
Belgium,1999
Germany,1940
Czech Republic,1834
Finland,1719
Greece,1642
Austria,1575
Denmark,1508
Lithuania,1508
Moldova,1432
Sweden,1403
Ireland,1242
Slovenia,1204
North Macedonia,1153
Serbia,935
Belarus,926
Latvia,824
Australia,746
Malta,662
Georgia,592
Netherlands,524
Romania,512
Spain,505
Azerbaijan,470
Norway,429
Montenegro,424
Armenia,328
Croatia,290
United Kingdom,278
Poland,208
San Marino,183
Iceland,130
Russia,94
